Date,Current Temp,Description,High Temp,Low Temp,Humidity,Feels Like,Location,AQI
2025-03-02 00:00:38.280321,-2°,Ясно,3°,-4°,87%,-2°,"Алматы, Казахстан",167
2025-03-02 01:00:38.281746,-4°,Туман,3°,-5°,87%,-4°,"Алматы, Казахстан",167
2025-03-02 02:00:38.985583,-4°,Туман,3°,-5°,86%,-4°,"Алматы, Казахстан",165
2025-03-02 03:00:38.260810,-2°,Ясно,3°,-4°,82%,-2°,"Алматы, Казахстан",164
2025-03-02 04:00:39.357465,-4°,Туман,4°,-3°,83%,-4°,"Алматы, Казахстан",153
2025-03-02 05:00:38.323363,-3°,Легкий туман,4°,-3°,83%,-3°,"Алматы, Казахстан",151
2025-03-02 06:00:38.339811,-1°,Ясно,4°,-3°,81%,-1°,"Алматы, Казахстан",159
2025-03-02 07:00:39.137047,-3°,Легкий туман,4°,-3°,83%,-6°,"Алматы, Казахстан",158
2025-03-02 08:00:39.267268,-2°,Туман,4°,-3°,81%,-5°,"Алматы, Казахстан",158
2025-03-02 09:00:38.309373,-1°,Облачно,4°,-3°,81%,-1°,"Алматы, Казахстан",164
2025-03-02 10:00:38.223020,0°,Легкий туман,4°,-3°,78%,-3°,"Алматы, Казахстан",159
2025-03-02 11:00:38.740126,1°,Легкий туман,4°,-3°,75%,-2°,"Алматы, Казахстан",165
2025-03-02 12:00:38.311336,2°,Ясно,4°,-3°,74%,2°,"Алматы, Казахстан",164
2025-03-02 13:00:38.722648,3°,Легкий туман,4°,-3°,68%,1°,"Алматы, Казахстан",158
2025-03-02 15:00:38.268405,5°,Переменная облачность,6°,-3°,62%,5°,"Алматы, Казахстан",162
2025-03-02 16:00:38.438445,4°,Значительная облачность,5°,-3°,67%,0°,"Алматы, Казахстан",162
2025-03-02 17:00:38.373355,4°,Значительная облачность,5°,-3°,70%,1°,"Алматы, Казахстан",163
2025-03-02 18:00:38.451725,3°,Значительная облачность,5°,-3°,62%,3°,"Алматы, Казахстан",165
2025-03-02 19:00:38.312537,1°,Легкий туман,5°,-3°,79%,-1°,"Алматы, Казахстан",164
2025-03-02 20:00:38.293734,0°,Легкий туман,5°,-3°,80%,-2°,"Алматы, Казахстан",164
2025-03-02 21:00:38.282067,0°,Ясно,5°,-3°,78%,0°,"Алматы, Казахстан",165
2025-03-02 22:00:38.570186,-2°,Легкий туман,5°,-3°,83%,-6°,"Алматы, Казахстан",174
2025-03-02 23:00:39.302811,-2°,Легкий туман,5°,-3°,82%,-4°,"Алматы, Казахстан",179
2025-03-03 00:00:38.251918,-1°,Ясно,5°,-3°,80%,-1°,"Алматы, Казахстан",180
2025-03-03 01:00:38.325290,-3°,Легкий туман,5°,-3°,84%,-3°,"Алматы, Казахстан",178
2025-03-03 02:00:39.168797,-3°,Легкий туман,5°,-3°,84%,-6°,"Алматы, Казахстан",166
2025-03-03 03:00:39.058146,-1°,Облачно,5°,-3°,81%,-1°,"Алматы, Казахстан",172
2025-03-03 04:00:38.283995,-2°,Легкий туман,2°,-8°,83%,-7°,"Алматы, Казахстан",168
2025-03-03 05:00:38.988401,-2°,Легкий туман,2°,-8°,84%,-8°,"Алматы, Казахстан",166
2025-03-03 06:00:39.161559,-1°,Облачно,2°,-9°,82%,-1°,"Алматы, Казахстан",163
2025-03-03 07:00:38.235193,-1°,Легкий туман,2°,-8°,82%,-8°,"Алматы, Казахстан",155
2025-03-03 08:00:39.034869,-1°,Легкий туман,2°,-8°,83%,-7°,"Алматы, Казахстан",158
2025-03-03 09:00:38.242392,1°,Облачно,2°,-8°,81%,1°,"Алматы, Казахстан",154
